,Y,X
1997,147,177
1998,147,176
1999,147,175
2000,147,174
2001,146,177
2002,146,176
2003,146,175
2004,146,174
2005,145,177
2006,145,176
2007,145,175
2008,145,174
2009,144,177
2010,144,176
2011,144,175
2012,144,174
2013,143,177
2014,143,176
2015,143,175
2016,143,174
2017,142,177
2018,142,176
2019,142,175
2020,142,174
2021,141,177
2022,141,176
2023,141,175
2024,141,174
2025,140,177
2026,140,176
2027,140,175
2028,140,174
2029,139,177
2030,139,176
2031,139,175
2032,139,174
2033,138,177
2034,138,176
2035,138,175
2036,138,174
2037,137,177
2038,137,176
2039,137,175
2040,137,174
2041,136,177
2042,136,176
2043,136,175
2044,136,174
2045,135,177
2046,135,176
2047,135,175
2048,135,174
2049,134,177
2050,134,176
2051,134,175
2052,134,174
2053,133,177
2054,133,176
2055,133,175
2056,133,174
2057,132,177
2058,132,176
2059,132,175
2060,132,174
2061,131,177
2062,131,176
2063,131,175
2064,131,174
2065,130,177
2066,130,176
2067,130,175
2068,130,174
2069,129,177
2070,129,176
2071,129,175
2072,129,174
2073,128,177
2074,128,176
2075,128,175
2076,128,174
2077,127,177
2078,127,176
2079,127,175
2080,127,174
2081,126,177
2082,126,176
2083,126,175
2084,126,174
2085,125,177
2086,125,176
2087,125,175
2088,125,174
2089,124,177
2090,124,176
2091,124,175
2092,124,174
2093,123,177
2094,123,176
2095,123,175
2096,123,174
2097,122,177
2098,122,176
2099,122,175
2100,121,177
2101,121,176
2102,121,175
2103,120,177
2104,120,176
2105,120,175
2106,119,177
2107,119,176
2108,119,175
2109,118,178
2110,118,177
2111,118,176
2112,118,175
2113,117,178
2114,117,177
2115,117,176
2116,117,175
2117,116,178
2118,116,177
2119,116,176
2120,116,175
2121,115,178
2122,115,177
2123,115,176
2124,115,175
2125,114,178
2126,114,177
2127,114,176
2128,114,175
2129,113,178
2130,113,177
2131,113,176
2132,113,175
2133,112,178
2134,112,177
2135,112,176
